Int |   NORTHBOUND      SOUTHBOUND      EASTBOUND       WESTBOUND   
 #  |  LT   TH   RT    LT   TH   RT    LT   TH   RT    LT   TH   RT    
---------------------------------------------------------------------
179      0 1527    0     0 1410    0     1    0  376     0    0    0 
180     38  989  101    70 1636   11    48    3  126   321    2   42 
181      0  194  337    90  459    0     0    0    0   343    0   94 
182     84    1   90    76    1   29    30 1273   17    19  749   17 
183     27    0   70    12    0    3     2 1296    4     9  622    1 
184     32  900   53    14 2211   21     3    0   18   288    0  102 
185     82    7  681    47    7   12    23 1311  101   739  992   13 
186    276  386    0     0  475  913   709    0  201     0    0    0 
187     41    0   44     0    0    0     0  923   17     3  810    0 
188     41  751    0     0 1258  553   274    0  120   693  222  101 
189      0    0    0     0    0  575   254  795    0     0  853   24 
190     10  274  149     5  150   78    47  926   29    43  612  145 
191    817  296    0     0    9 1003   933    0 1319     0    0    0 
192     72  417   22    17   63   18    32   26    7    27  264  507 
193      0   41    5   190  174    0     0    0    0     1    0   60 
194      0    0    0    12    0   56   105  224    0     0   99   10 
195     71  815   51   588 1064   52    29    2   42   286    4  717 
196      0    0    0   190    0   31    39  267    0     0  391   41 
197     77    0    8     0    0    0     0  768   87     6  322    0 
198     67  307    9    27  483   17    80   59  365     4   32   18 
199     14    0    3     0    0    0     0  852    2     0  194    0 
200     66    0   11     0    0    0     0  507  252   282  490    0 
201      0    0    0     0    0  479    48  198    0     0    0    0 
202      2  573  341   353 1414    0     0    2    4   693    0  272 
203      0    0    0  1632    0  556   600  660    0     0  425  502 
204      0 1348  406   193 1619    0   218  146  478   345    0  622 
205      0  195   39   108  657    0     0    0    0    27    0   76 
206      0    0    0   411   45    3     1   25    6   356   33  183 
207     10  122    7    50  443   11     4    3   16    44   11   27 
208     36    0  133     0    0    0     0   85   60   362  110    0 
209      0    0    1    19    0   19    52  675    1     1  381   41 
210     53    0   12     0    0    0     0  389   85    17  180    0 
211     20  519   10    38 1153  261   415    3   83     3    7   69 
212      0    0    0   319    0  150   113   85    0     0   79   98 
213      0    0    0   116    0    7     1  312    0     0  153   18 
214      0  291  139   123  509    0     0    0    0    53    0   48 
215     22  416   13     4   94    9    10    4   20     4    6    5 
216    227    0  132     2    3    0     3   99   54    45  660    1 
217      4   15    2    32  132   14     5    6   28     8   11   14 
218     20  277  152   147  384   38    33    4   23    58    3   57 
219    329    0  144     0    0    0   369  592    0     0  891  434 
220    102    0  723     0    0    0    60  682    0     0  841  734 
221      0    0    0   539    0   71     0  559  252   671  332    0 
222    111 1017   73   192 1843  528   467   72   37   223   92  234 
223    233    0   72     0    0    0     0 1247  492   258 1180    0 
224      0    0    0   205    0  411     0 1742  765   206  728    0 
225    606    0  234     0    0    0  1285  672    0     0  504  335 
226      0    0    0   263    0  300     0  677  111   783  497    0 
227      0  786  327   270 1760    0     0  251  450   278    0  258 
228     22  209  344   757  754   60    76  480   39    49   38   34 
229     51  278    0     0  354   78   154    0   26     0    0    0 
230     57  185    0     0  841   23    47    0  184     0    0    0 
231      0  610  251   233  347    0     0    0    0    84    0   87 
232      0    0    0    45    0  285   131  628    0     0  256    3 
233    389    0  543     0    0    0     0 1015  111   779  735    0 
234    106  578  288    91  740  121    76 1109  370   198  707   31 
235    231  432  170     9  328  169    70 1189   45   102  535   71 
236     23  366    0     3  107    9     1    0    2     2    0    1 
237     44  286    0     0  796   25    29    0   56     0    0    0 
238    258  426    4     5 1338   83   294   15   94    99   49   49 
239    757  721  102   212  452  212   112  664  247    91 1114  445 
240      0   90   49    74  356    0     0    0    0    62    0   64 
241     55  465    0     0 1293   63    31    0   65     0    0    0 
242      0    0    0   169    0  108    61  337    0     0  456  103 
243      0   96   12    23  249    0     0    0    0    17    0   10 
244      0    0    0   107    0  106    74  506    0     0  214   39 
245      0    0    0   261    0  203   172  228    0     0  353  235 
246     43  343    0     0  755    5    21    0  237     0    0    0 
247      0    0    0     0    0   13    30   24    0     0   11    0 
248      0  191   20   182  426    0     0    0    0    13    0   67 
249      8 1382  166   746  867    4     4    0    5   219    5  686 
250      0    0    0    94    0  306     0 1074  368    40  757    0 
251    155    0  306     0    0    0   359  698    0     0  621  104 
252    177    0  120     0    0    0     0 1227   90    50 1140    0 
253     88  777    0     0  639  222     0    0    0    12    0  154 
254     43  329  555   622  635    1     1    3   35   200    1  194 
255    677  440  387    50  171   62   180  391  316    72   27   11 
256    112    0   54     0    0    0     0  180  196    71  254    0 
257     53    0   32     1    0    3     2  490  266    24  110    4 
258      0    0    0    76    0  135     0 2004    0     0 1036    0 
259      0    0    0     0    0    0  1208  870    0     0 1036  567 
260      0    0    0     0    0    0   482  714    0     0  216    2 
261      0  484    0     0  946  183    38    0    0     0    0    0 
262    475 1269    0     0 1154  243  1582    0  115     0    0    0 
263     42  732   42    28 1547   16    95    1  108   182   21  190 
264    123  609  179    46  991  156   268  315  145   491  373   91 
265    530 1818  240    74  908   63    80  353  257   137  312   97 
266    109    8   24   157    8  113    45  925   66    46 1052   95 
267     32  432   75   505  547  228    56 1157   59    83  883  318 
268    139 1440   49    74 1525  111   115   16   86    70    6   45 
269      0    0  222   370    0    0     0    0    0   201    0  333 
270     88  555    0     0  929  112   144    0   65     0    0    0 
271      0  713    0     0 1032    0     0    0    0     0    0    0 
272      0    0    0   416    0  218   208  228    0     0  457  156 
273     49  125    0     0  595  139    86    0  116     0    0    0 
274     66    0  145     0    0    0     0  389  120   204  525    0 
275     25 1472    0     0 1220  106   692    0  137     0    0    0 
276      0  946   17   629  515    0     0    0    0    18    0  336 
277     13  847  103   285  378   49   170  166   28   598  155  779 
278      0  397   37   142  544    0     0    0    0    18    0  114 
279      0 1021  782     0 1587    0     0    0  368     0    0  446 
280    432    0  242     0    0    6     0  367  342   193  313    0 
281      3  225  181    78  586    6     3    0    3   354    1   43 
282    172  717    7    35 1554  134    37    3  269    12    8   12 
283      0    0  338     0    0    0     0    0    0   643    0    0 
284      0    0    0    30    0  697   369  923    0     0  840   30 
285     51 1582   56    56 2440  102    96    9   28   161   12   61 
286      0    0    0     0    0    0   443  502    0     0  572  292 
287      0 2839    0     0 1281    0     0    0    0     0    0    0 
288      0    0    0     0    0    0     0 1599    0     0 1168    0 
289      0    0    0    29    0   32    31 1370    0     0 1319   58 
290      0    0    0     0    0  776   667  138    0     0  197   16 
291     91    0  143     0    0    0     0  822   31    32  680    0 
292   1030    0    0     0    0    0     0 1149  868     0 1654    0 
293      0  401  108     0  152  483   295  872    0    48 1171    0 
294      0  683   60    95  500  439   150 1320    0   361  968  209 
295      0  685    0     0  414    0   123    0    0     0    0    0 
296     20  207   34    59  355  170   238    5   17    10    5   36 
297      0    0    0     0  692    0     0    0  186     0    0    0 
298      0  819   64   171 1963    0     0    0    0   101    0  305 
299      0  646  248    17  281    0     0    0    0   172    0   28 
300      0 1699  134   118 1093    0     0    0    0    73    0   88 
